timestamp,connection,direction,file_offset,block_offset,block_size,server_block_size
2026-07-08T23:14:35.3560531Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,8670000,3562,68000,64438
2026-07-08T23:14:35.3826455Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,8942000,30510,68000,37490
2026-07-08T23:14:35.393804Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,9078000,11079,68000,56921
2026-07-08T23:14:35.4429549Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,9214000,32052,68000,35948
2026-07-08T23:14:35.4459132Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,9418000,31986,68000,36014
2026-07-08T23:14:35.5666841Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,9554000,1908,68000,66092
2026-07-08T23:14:35.5975724Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,9690000,51157,68000,16843
2026-07-08T23:14:35.6294731Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,9826000,57682,68000,10318
2026-07-08T23:14:35.6311349Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,9962000,66476,68000,1524
2026-07-08T23:14:35.7459204Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,10166000,22761,68000,45239
2026-07-08T23:14:35.7664832Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,10370000,38545,68000,29455
2026-07-08T23:14:35.7909025Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,10506000,41322,68000,26678
2026-07-08T23:14:35.796789Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,10642000,60752,68000,7248
2026-07-08T23:14:35.8138765Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,10778000,29900,68000,38100
2026-07-08T23:14:35.8599941Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,10982000,64132,68000,3868
2026-07-08T23:14:35.9479485Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,11254000,29712,68000,38288
2026-07-08T23:14:35.9490714Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,11390000,32382,68000,35618
2026-07-08T23:14:35.9501966Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,11594000,50406,68000,17594
2026-07-08T23:14:35.983714Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,11730000,45425,68000,22575
2026-07-08T23:14:36.0120613Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,11798000,17283,68000,50717
2026-07-08T23:14:36.0802423Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,12342000,43656,68000,24344
2026-07-08T23:14:36.0814102Z,stats/splitdata_server_localhost_4444_20260709_011433.csv,received,12410000,36218,68000,31782
